Ти признайся мені звідки в тебе ті чари;Володимир Івасюк — Червона рута
Стефанія мамо мамо Стефанія розквітає поле а вона сивіє;Kalush Orchestra — Stefania
Старі фотографії на стіл розклади дитячі історії смішні розкажи;Скрябін — Старі фотографії
Я не здамся без бою;Океан Ельзи — Без бою
Охрана отмєна він вночі назвав мене Лєна;Jerry Heil — Охрана, отмєна
Поплакала і стоп фіалка розцвіла на мить одну;KAZKA — Плакала
Тримай мене міцно одною рукою;Христина Соловій — Тримай
Сію вію сію вію конопелечки сію вію сію вію зеленесенькі;Go_A — Шум
І найкращі однокласниці жалітимуть колись;Latexfauna — Cherkaschyna
З'їла баба мужика;DZIDZIO — Павук
Біля тополі калина росте;Shumei — Біля тополі
А ми тую червону калину підіймемо;Андрій Хливнюк — Ой у лузі червона калина
Не бриті та не голені;ТІК — Олені
Скажи поміж сестер що ці слова твої тепер;Бумбокс— Люди
Вона не хоче крем-брюле;Шугар — Олєг
Тепер на все кладу Хуба-буба;Parfeniuk — Хуба-буба
Палац зі мною в кульбаби;Тоня Матвієнко — Кульбаби
Бий барабан печалі і тіло прокричало;Артем Пивоваров — Барабан
Червону руту не шукай вечорами;Володимир Івасюк — Червона рута
Шот крик пил дим; The Unsleeping - Припустим
Прийшов тебе нема підманула підвела;Українська народна пісня — Ти ж мене підманула
